language_name,Español
Places_Monean Chamber,Cámara monetaria
Places_Liptoo Chamber,Cámara de Liptoo
Places_Weepth Chamber,Cámara de llanto
Places_Dilford Chamber,Cámara de Dilford
Places_Scrufib Chamber,Cámara Scrufib
Places_Rixy Chamber,Cámara de Rixy
Places_Viapois Chamber,Cámara de Viapois
Places_Ancient Ruins,Ruinas antiguas
Places_Millenial Star Tower,Torre de la estrella milenaria
Places_Kolben Tower,Torre Kolben
Places_Faraway Island,Isla lejana
Places_Underwater Cave,Cueva submarina
Places_Embedded Tower,Torre oculta.

Routes:
Places_Route 1,Ruta 1
Places_Route 2,Ruta 2
Places_Route 3,Ruta 3
Places_Route 4,Ruta 4
Places_Route 5,Ruta 5
Places_Route 6,Ruta 6
Places_Route 7,Ruta 7
Places_Route 8,Ruta 8
Places_Route 9,Ruta 9
Places_Route 10,Ruta 10
Places_Route 11,Ruta 11
Places_Route 12,Ruta 12
Places_Route 13,Ruta 13
Places_Route 14,Ruta 14
Places_Route 15,Ruta 15
Places_Route 16,Ruta 16
Places_Route 17,Ruta 17
Places_Route 18,Ruta 18
Places_Route 19,Ruta 19
Places_Route 20,Ruta 20
Places_Route 21,Ruta 21
Places_Route 22,Ruta 22
Places_Route 23,Ruta 23
Places_Route 24,Ruta 24
Places_Route 25,Ruta 25
Places_Route 26,Ruta 26
Places_Route 27,Ruta 27
Places_Route 28,Ruta 28
Places_Route 29,Ruta 29
Places_Route 30,Ruta 30
Places_Route 31,Ruta 31
Places_Route 32,Ruta 32
Places_Route 33,Ruta 33
Places_Route 34,Ruta 34
Places_Route 35,Ruta 35
Places_Route 36,Ruta 36
Places_Route 37,Ruta 37
Places_Route 38,Ruta 38
Places_Route 39,Ruta 39
Places_Route 40,Ruta 40
Places_Route 41,Ruta 41
Places_Route 42,Ruta 42
Places_Route 43,Ruta 43
Places_Route 44,Ruta 44
Places_Route 45,Ruta 45
Places_Route 46,Ruta 46
Places_Route 47,Ruta 47
Places_Route 48,Ruta 48
Places_Route 49,Ruta 49
Places_Route 50,Ruta 50

Places_Treasure Beach,Playa Tesoro
Places_Kindle Road,Camino Candente
Places_Cape Brink,Cabo Extremo
Places_Three Isle Port,Puerto De Isla Tera
Places_Bond Bridge,Puente Unión
Places_Five Isle Meadow,Prado Isla Inta
Places_Memorial Pillar,Pilar Recuerdo
Places_Water Labyrinth,Aquarinto
Places_Resort Gorgeous,Isla Inta
Places_Water Path,Camino Acuatico
Places_Grass Path,Camino de césped.
Places_Outcast Island,Isla Aislada
Places_Ruin Valley,Valle Ruinas
Places_Tower Straits,Tower Straits
Places_Canyon Entrance,Entrada al Cañón
Places_Sevault Canyon,Cañón Sétano
Places_Tanoby Ruins,Ruinas Sete
Places_Safari Zone Gate,Entrada Zona Safari 
Places_S.S. Aqua,S.S. Aqua
Places_Elite 4,Alto Mando
Places_Indigo Plateau, Meseta Añil 
Places_Twirl Forest,Bosque Giro
Places_Berry Vista,Vista Baya
Places_Battle Frontier,Frente de Batalla
Places_Battle Tower,Torre de combate
Places_Battle Factory,Fabrica de batalla
Places_Rocket Warehouse,Guarida Rocket
Places_Secret Laboratory,Laboratorio secreto

---
Item categories:
item_category_Standard,Estándar
item_category_Medicine,Medicina
item_category_Machines,Máquinas
item_category_Pokéballs,Pokéballs
item_category_Plants,Bayas
item_category_KeyItems,Objetos clave
item_category_BattleItems,Objetos de batalla
item_category_Mail,Cartas
---
GameMessages:
game_message_screenshot,Captura de pantalla guardada como
game_message_screenshot_failed,no se puede hacer la captura de pantalla
game_message_fullscreen_on,Pantalla completa activada
game_message_fullscreen_off,Pantalla completa desactivada
game_message_third_person_on,Modo en tercera persona activado
game_message_third_person_off,Modo en tercera persona desactivado
game_message_free_camera_on,Modo de cámara libre activado
game_message_free_camera_off,Modo de cámara libre desactivado
game_message_audio_on,Audio activado
game_message_audio_off,Audio desactivado
game_message_continue_autosave,Continuando estado guardado:
---
Online:
game_message_close_connection,Cerraste el juego cooperativo.
game_message_disconncet,Te desconectaste del host.
game_message_cannot_connect_client_1,No se puede conectar al host (
game_message_cannot_connect_client_2,)!
game_message_client_connect_1,Te uniste al juego (
game_message_client_connect_2,)!
game_message_client_host_closed_1, el anfitrión (
game_message_client_host_closed_2,) cerró la conexión.
game_message_client_outdated_newer_version,Tienes una versión obsoleta o más nueva del juego.
game_message_host_session_started,usted (anfitrión) inició una sesión cooperativa.
game_message_host_outdated_newer_version,¡El cliente tiene una versión obsoleta o más nueva del juego!
game_message_host_client_accept,¡Un cliente se unió al juego!
game_message_host_client_disconnect,¡El cliente se desconectó! La sesión de Co-Op ha sido cerrada.
---
Pokemon:
pokemon_name_Bulbasaur,Bulbasaur
pokemon_name_Ivysaur,Ivysaur
pokemon_name_Venusaur,Venusaur
pokemon_name_Charmander,Charmander
pokemon_name_Charmeleon,Charmeleon
pokemon_name_Charizard,Charizard
pokemon_name_Squirtle,Squirtle
pokemon_name_Wartortle,Wartortle
pokemon_name_Blastoise,Blastoise
pokemon_name_Caterpie,Caterpie
pokemon_name_Metapod,Metapod
pokemon_name_Butterfree,Butterfree
pokemon_name_Weedle,Weedle
pokemon_name_Kakuna,Kakuna
pokemon_name_Beedrill,Beedrill
pokemon_name_Pidgey,Pidgey
pokemon_name_Pidgeotto,Pidgeotto
pokemon_name_Pidgeot,Pidgeot
pokemon_name_Rattata,Rattata
pokemon_name_Raticate,Raticate
pokemon_name_Spearow,Spearow
pokemon_name_Fearow,Fearow
pokemon_name_Ekans,Ekans
pokemon_name_Arbok,Arbok
pokemon_name_Pikachu,Pikachu
pokemon_name_Raichu,Raichu
pokemon_name_Sandshrew,Sandshrew
pokemon_name_Sandshlash,Sandslash
pokemon_name_Nidoran,Nidoran
pokemon_name_Nidorina,Nidorina
pokemon_name_Nidoqueen,Nidoqueen
pokemon_name_Nidorino,Nidorino
pokemon_name_Nidoking,Nidoking
pokemon_name_Clefairy,Clefairy
pokemon_name_Clefable,Clefable
pokemon_name_Vulpix,Vulpix
pokemon_name_Ninetails,Ninetails
pokemon_name_Jigglypuff,Jigglypuff
pokemon_name_Wigglytuff,Wigglytuff
pokemon_name_Zubat,Zubat
pokemon_name_Golbat,Golbat
pokemon_name_Oddish,Oddish
pokemon_name_Gloom,Gloom
pokemon_name_Vileplume,Vileplume
pokemon_name_Paras,Paras
pokemon_name_Parasect,Parasect
pokemon_name_Venonat,Venonat
pokemon_name_Venomoth,Venomoth
pokemon_name_Diglett,Diglett
pokemon_name_Dugtrio,Dugtrio
pokemon_name_Meowth,Meowth
pokemon_name_Persian,Persian
pokemon_name_Psyduck,Psyduck
